ukprn,university,kiscourseid,title,crseurl,provadd
10007158,University of Southampton,451,Electrical Engineering with Foundation Year,https://www.southampton.ac.uk/courses/electrical-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,453,Electronic Engineering with Foundation Year,https://www.southampton.ac.uk/courses/electronic-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,454,Mechanical Engineering,https://www.southampton.ac.uk/courses/mechanical-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,455,Ship Science with Foundation Year,https://www.southampton.ac.uk/courses/maritime-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,456,Software Engineering,https://www.southampton.ac.uk/courses/software-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,458,Physics with Foundation Year,https://www.southampton.ac.uk/courses/physics-degree-mphys,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,459,Electrical and Electronic Engineering,https://www.southampton.ac.uk/courses/electrical-electronic-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,460,Electrical and Electronic Engineering,https://www.southampton.ac.uk/courses/electrical-electronic-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,480,Business Analytics,https://www.southampton.ac.uk/courses/business-analytics-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,481,Business Analytics with placement,https://www.southampton.ac.uk/courses/business-analytics-with-placement-year-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,482,Business Entrepreneurship,https://www.southampton.ac.uk/courses/business-entrepreneurship-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,483,Business Entrepreneurship with Placement,https://www.southampton.ac.uk/courses/business-entrepreneurship-with-placement-year-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,488,Business Management,https://www.southampton.ac.uk/courses/business-management-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,489,Business Management with Placement,https://www.southampton.ac.uk/courses/business-management-with-placement-year-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,5,Biomedical Sciences,https://www.southampton.ac.uk/courses/biomedical-sciences-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,500,Mechanical Engineering / Biomedical Engineering,https://www.southampton.ac.uk/courses/mechanical-engineering-biomedical-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,504,Archaeology and Anthropology,https://www.southampton.ac.uk/courses/archaeology-anthropology-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,505,Archaeology and Anthropology with Year Abroad,https://www.southampton.ac.uk/courses/archaeology-anthropology-with-year-abroad-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,506,"Philosophy, Politics and Economics",https://www.southampton.ac.uk/courses/philosophy-politics-economics-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,508,Biochemistry,https://www.southampton.ac.uk/courses/biochemistry-degree-msci,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,51,Occupational Therapy,https://www.southampton.ac.uk/courses/occupational-therapy-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,510,Neuroscience,https://www.southampton.ac.uk/courses/neuroscience-degree-msci,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,511,Biology and Marine Biology,https://www.southampton.ac.uk/courses/biology-marine-biology-degree-msci,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,514,Computer Science with Foundation Year,https://www.southampton.ac.uk/courses/computer-science-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,515,Electronic Engineering with Mobile & Secure Systems,https://www.southampton.ac.uk/courses/electronic-engineering-with-mobile-secure-systems-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,516,Electronic Engineering with Photonics,https://www.southampton.ac.uk/courses/electronic-engineering-with-photonics-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,518,Cardiac Physiology (Healthcare Science),https://www.southampton.ac.uk/courses/cardiac-physiology-healthcare-science-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,519,Marketing,https://www.southampton.ac.uk/courses/marketing-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,524,Biology,https://www.southampton.ac.uk/courses/biology-degree-msci,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,526,Zoology,https://www.southampton.ac.uk/courses/zoology-degree-msci,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,528,Mathematical Physics,https://www.southampton.ac.uk/courses/mathematical-physics-degree-mmath,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,530,Ancient History,https://www.southampton.ac.uk/courses/ancient-history-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,531,Archaeology and Ancient History,https://www.southampton.ac.uk/courses/ancient-history-archaeology-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,534,Ancient History and History,https://www.southampton.ac.uk/courses/ancient-history-history-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,540,Computer Science with Cyber Security,https://www.southampton.ac.uk/courses/computer-science-with-cyber-security-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,541,English Language and Linguistics,https://www.southampton.ac.uk/courses/english-language-linguistics-degree-ba,"University Road, Southampton, SO17 1BJ"
