url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-italian-ba,BA,Dutch and Italian,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-latin-ba,BA,Dutch and Latin,ABB,"Latin grade A required, modern foreign language preferred.",34,"A total of 16 points in three higher level subjects to include Latin grade 6, with no higher level score below 5. Modern Foreign Language preferred."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-management-studies-ba,Management Studies BA,Dutch and,AAB,Modern foreign language preferred.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5, Modern Foreign Language preferred."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-norwegian-ba,BA,Dutch and Norwegian,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-philosophy-ba,BA,Dutch and Philosophy,AAB,Modern foreign language preferred.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5, Modern Foreign Language preferred."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-polish-ba,BA,Dutch and Polish,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-portuguese-ba,BA,Dutch and Portuguese,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-romanian-ba,manian BA,Dutch and Ro,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-russian-ba,BA,Dutch and Russian,AAB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,36,"A total of 17 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-spanish-ba,BA,Dutch and Spanish,ABB,Spanish required at grade A.,34,"A total of 16 points in three higher level subjects including Spanish at grade 6, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-serbian-croatian-ba,BA,Dutch and Serbian/Croatian,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
