kiscourseid,url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
K0404,https://www.birmingham.ac.uk/undergraduate/courses/computer-science/computer-science-software-engineering-industry.aspx,MEng,Computer Science/Software Engineering with a Year in Industry,A*AA,A*AA to include A-level Mathematics grade A.,32,"7,6,6 at Higher Level to include 6 in Mathematics, with a minimum of 32 points overall. We also require 5 in Standard Level English."
K0406,https://www.birmingham.ac.uk/undergraduate/courses/med/biomedical-science.aspx,BSc,Biomedical Science,AAB,"AAB  to include two science A levels, one from Biology or Chemistry plus another from Biology, Chemistry, Mathematics, Physics or Psychology",32,"6,6,5 at Higher Level, to include at least two sciences. 32 points overall."
K0410,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics-social-policy.aspx,BA,Politics and Social Policy,AAB,AAB,32,"6,6,5 at Higher Level with a minimum of 32 points overall"
K0411,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics-sociology.aspx,BA,Politics and Sociology,AAB,AAB,32,"6,6,5 at Higher Level with a minimum of 32 points overall"
K0412,https://www.birmingham.ac.uk/undergraduate/courses/gees/geography-msci.aspx,MSci,Geography,AAB,AAB,32,"6,6,5 32 points overall."
K0413,https://www.birmingham.ac.uk/undergraduate/courses/gees/geography-msci-international.aspx,MSci,Geography with International Year,AAB,AAB,32,"6,6,5 32 points overall."
K0416,https://www.birmingham.ac.uk/undergraduate/courses/med/pharmacy-4-year.aspx,MPharm,Pharmacy,AAB,"AAB  to include Chemistry and at least one further science at A level from Biology, Mathematics or Physics",32,"6,6,5 at Higher Level, including Chemistry plus either Biology, Physics or Maths and three further subjects at Standard Level. 32 points overall"
K0418,https://www.birmingham.ac.uk/undergraduate/courses/social-policy/policy-politics-economics.aspx,BA,"Policy, Politics and Economics",AAB,AAB to include GCSE Maths Grade A/7,32,"6,6,5 at Higher Level, to include English with a minimum of 32 points overall"
K0419,https://www.birmingham.ac.uk/undergraduate/courses/english/english-language-and-literature.aspx,BA,English Language and Literature,AAB,AAB see below for full information.,32,"6,6,5 including 32 points overall. See below for full information."
K0420,https://www.birmingham.ac.uk/undergraduate/courses/computer-science/computer-science-msci.aspx,MSci,Computer Science,A*AA,A*AA to include A-level Mathematics grade A.,32,"7,6,6 at Higher Level to include 6 in Mathematics, with a minimum of 32 points overall. We also require 5 in Standard Level English."
K0421,https://www.birmingham.ac.uk/undergraduate/courses/computer-science/computer-science-industry-msci.aspx,MSci,Computer Science with a Year in Industry,A*AA,A*AA to to include A-level Mathematics grade A.,32,"7,6,6 at Higher Level to include 6 in Mathematics, with a minimum of 32 points overall. We also require 5 in Standard Level English."
K0422,https://www.birmingham.ac.uk/undergraduate/courses/computer-science/computer-science-international-msci.aspx,MSci,Computer Science with Study Abroad,A*AA,A*AA to include A-level Mathematics grade A.,32,"7,6,6 at Higher Level to include 6 in Mathematics, with a minimum of 32 points overall. We also require 5 in Standard Level English."
K0424,https://www.birmingham.ac.uk/undergraduate/courses/edu/education-sociology.aspx,BA,Education and Sociology,ABB,ABB,32,"6,5,5 32 points overall"
K0435,https://www.birmingham.ac.uk/undergraduate/courses/computer-science/computer-science-international-bsc.aspx,BSc,Computer Science with Study Abroad,A*AA,A*AA to include A-level Mathematics grade A.,32,"7,6,6 at Higher Level to include 6 in Mathematics, with a minimum of 32 points overall. We also require 5 in Standard Level English."
K0439,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics-philosophy-year-abroad.aspx,BA,Politics and Philosophy with year abroad,AAB,AAB,32,"6,6,5 at Higher Level with a minimum of 32 points overall"
K0440,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics-social-policy-year-abroad.aspx,BA,Politics and Social Policy with Year Abroad,AAB,AAB,32,"6,6,5 at Higher Level with a minimum of 32 points overall"
K0441,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics-sociology-year-abroad.aspx,BA,Politics and Sociology with Year Abroad,AAB,AAB,32,"6,6,5 at Higher Level with a minimum of 32 points overall"
K0442,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics-year-abroad.aspx,BA,Politics with Year Abroad,AAB,AAB,32,"6,6,5 at Higher Level with a minimum of 32 points overall"
K0444,https://www.birmingham.ac.uk/undergraduate/courses/social-policy/social-policy-year-abroad-ba.aspx,BA,Social Policy with Year Abroad,ABB,ABB,32,"6,5,5 at Higher Level, to include English with a minimum of 32 points overall."
K0467,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/international-relations-year-abroad.aspx,BA,International Relations with Year Abroad,AAB,AAB,32,"6,6,5 at Higher Level with a minimum of 32 points overall"
K0469,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/international-relations-economics-year-abroad.aspx,BA,International Relations with Economics with year abroad,AAB,AAB,32,"6,6,5 at Higher Level with a minimum of 32 points overall"
K0470,https://www.birmingham.ac.uk/undergraduate/courses/govsoc/politics-international-relations-year-abroad.aspx,BA,Politics and International Relations with Year Abroad,AAB,AAB,32,"6,6,5 at Higher Level with a minimum of 32 points overall"
K0471,https://www.birmingham.ac.uk/undergraduate/courses/law/law-criminology.aspx,LLB,Law with Criminology,AAA,AAA,32,"6,6,6 in Higher level subjects plus 32 points overall."
K0485,https://www.birmingham.ac.uk/undergraduate/courses/thr/politics-religion-philosophy.aspx,BA,"Politics, Religion and Philosophy",AAB,AAB,32,"6,6,5 in Higher level subjects plus 32 points overall."
K0486,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/modern-languages-and-english-lit.aspx,BA,Modern Languages and English Literature,AAB,AAB English Literature or English Language and Literature is required. See below for full information.,32,"6,6,5 32 points overall. See below for full information."
