ukprn,kiscourseid,university_name,title,degree_type,median_salary,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req,url,provaddress,placement_year,year_abroad,foundation_year_available,offer_rate
10003270,G401,Imperial College London,Computing,MEng,65000,A*A*A,"A* in Mathematics; A*, A in two further subjects or AAA in three further subjects, with Further Mathematics preferred.",41,7 in Mathematics at higher level; 7 in another relevant subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/computing-meng/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,24%
10003270,G402,Imperial College London,Computing (International Programme of Study),MEng,65000,A*A*A,"A* in Mathematics; A*, A in two further subjects or AAA in three further subjects",41,7 in Mathematics at higher level; 7 in another relevant subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/computing-international-programme-of-study/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,Yes,No,17%
10003270,G501,Imperial College London,Computing (Management and Finance),MEng,65000,A*A*A,"A* in Mathematics; A*, A in two further subjects or AAA in three further subjects, with Further Mathematics preferred.",41,7 in Mathematics at higher level; 7 in another relevant subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/computing-computational-management/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,6.7%
10003270,G600,Imperial College London,Computing (Software Engineering),MEng,65000,A*A*A,"A* in Mathematics; A*, A in two further subjects or AAA in three further subjects, with Further Mathematics preferred.",41,7 in Mathematics at higher level; 7 in another relevant subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/computing-software-engineering-meng/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,8.4%
10003270,G610,Imperial College London,Computing (Security and Reliability),MEng,65000,A*A*A,"A* in Mathematics; A*, A in two further subjects or AAA in three further subjects, with Further Mathematics preferred.",41,7 in Mathematics at higher level; 7 in another relevant subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/computing-security-reliability-meng/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,7.9%
10003270,G700,Imperial College London,Computing (Artificial Intelligence and Machine Learning),MEng,65000,A*A*A,"A* in Mathematics; A*, A in two further subjects or AAA in three further subjects, with Further Mathematics preferred.",41,7 in Mathematics at higher level; 7 in another relevant subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/computing-artificial-intelligence-meng/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,16%
10003270,GG14,Imperial College London,Mathematics and Computer Science,BEng,39000,A*A*A,A* in Mathematics; A* Further Mathematics,41,7 in Mathematics at higher level; 7 in another relevant subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-computer-science-beng/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,16%
10003270,GG41,Imperial College London,Mathematics and Computer Science,MEng,39000,A*A*A,A* in Mathematics; A* Further Mathematics,41,7 in Mathematics at higher level; 7 in another relevant subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/mathematics-computer-science-meng/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,25%
10003270,GG47,Imperial College London,Computing (Visual Computing and Robotics),MEng,65000,A*A*A,"A* in Mathematics; A*, A in two further subjects or AAA in three further subjects, with Further Mathematics preferred.",41,7 in Mathematics at higher level; 7 in another relevant subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/computing-visual-computing-robotics-meng/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,16%
10003270,GH56,Imperial College London,Electronic and Information Engineering,MEng,41000,A*A*A,A* in Mathematics; A*/A in Physics (A* is required if applying with three A-levels. At least an A is required if applying with four A-levels),40,7 in Mathematics at higher level; 7 in Physics at higher level; 7 in Mathematics at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/electronic-information-meng/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,49%
