kiscourseid,title,degree_type,a_level,a_level_subjects,gcse,ib,ib_subjects,url,foundation,sandwich,yearabroad,lower_quartile_salary,median_salary,upper_quartile_salary,university,offer_rate_clean,disciplines
UBSSCESSOC18,Science and Engineering for Social Change,BSc,AAB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/science-and-engineering-social-change-bsc,Yes,No,No,30000,33000,39000,University College London,46,Engineering|Sociology
UBASERAEES18,Serbian / Croatian and East European Studies,BA,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/serbian-croatian-and-east-european-studies-ba,No,No,Yes,25500,28500,35000,University College London,63,Serbian
UBASRBAPOR18,Serbian/Croatian and Portuguese,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/serbian-croatian-and-portuguese-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Serbian
UBASRBASPA18,Serbian/Croatian and Spanish,BA,AAB,Spanish required at A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects including Spanish grade 6, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/serbian-croatian-and-spanish-ba,No,No,Yes,25500,28500,35000,University College London,60,Serbian
UBASRBASWE18,Serbian/Croatian and Swedish,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/serbian-croatian-and-swedish-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Serbian
UBASRBAUKR18,Serbian/Croatian and Ukrainian,BA,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/serbian-croatian-and-ukrainian-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Serbian
UBASRBAYID18,Serbian/Croatian and Yiddish,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,A total of 16 in three higher level subjects to include Serbian/Croatian or Yiddish with no higher level score below 5,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/serbian-croatian-and-yiddish-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Serbian
UBSSSCSING18,Social Sciences,BSc,AAA,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/social-sciences-bsc,No,No,No,23000,26500,32000,University College London,39,Sociology|Economics|Politics
UBSSSCSQME18,Social Sciences with Data Science,BSc,AAA,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/social-sciences-data-science-bsc,No,No,No,30000,35000,46000,University College London,51,Sociology|Economics|Data Science|Statistics|Finance
UBSSPOSSCI18,Sociology and Politics of Science,BSc,AAB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/sociology-and-politics-science-bsc,No,No,No,26000,28000,34000,University College London,77,Sociology
UBSSOCSING18,Sociology,BSc,AAA,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/sociology-bsc,No,No,No,26000,28000,34000,University College London,32,Sociology
UBASPAAHAR18,Spanish and History of Art,BA,ABB,Spanish required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects including Spanish at grade 6, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/spanish-and-history-art-ba,No,No,Yes,25500,28500,35000,University College London,63,Spanish
UBASPAALAS18,Spanish and Latin American Studies,BA,ABB,Spanish grade A required.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects including Spanish at grade 6, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/spanish-and-latin-american-studies-ba,No,No,Yes,25500,28500,35000,University College London,89,Spanish
UBASPAALAT18,Spanish and Latin,BA,AAB,Spanish and Latin required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects including 6 in Spanish and Latin, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/spanish-and-latin-ba,No,No,Yes,25500,28500,35000,University College London,63,Spanish
UBASPAAPHI18,Spanish and Philosophy,BA,AAA,Spanish required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects including Spanish grade 6, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/spanish-and-philosophy-ba,No,No,Yes,25500,28500,35000,University College London,89,Spanish
