Course Title,Course code/ Route code,Highly skilled work marker,Industry sector - main,Location of employment (region),Work - Standard occupational classification 2020
BA Geography,UBAGEOSING18/UBAGEOSING18,Not applicable,"Energy, Natural Resources, the Environment",London,
BA Geography,UBAGEOSING18/UBAGEOSING18,Not applicable,Unknown,Not known,
BA Geography with Quantitative Methods,UBAGEOSING18/UBAGEOWQNT18,High-skilled,Academic Research and HE,North America,"Other researchers, unspecified discipline"
BA Geography with Quantitative Methods,UBAGEOSING18/UBAGEOWQNT18,High-skilled,Consultancy,London,Information technology professionals n.e.c.
BA Geography with Social Data Science,UBAGEOSING18/UBAGESODSC20,High-skilled,Accountancy & Financial Services,North America,Sales accounts and business development managers
BA Geography with Social Data Science,UBAGEOSING18/UBAGESODSC20,High-skilled,Banking and investment,Asia,Finance and investment analysts and advisers
BA Geography with Social Data Science,UBAGEOSING18/UBAGESODSC20,High-skilled,Banking and investment,London,Finance and investment analysts and advisers
BA Geography with Social Data Science,UBAGEOSING18/UBAGESODSC20,High-skilled,"IT, Technology & Telecomms",Asia,Information technology professionals n.e.c.
BA Geography with Social Data Science,UBAGEOSING18/UBAGESODSC20,High-skilled,"Publishing, Journalism, or Translation",Other European Union,Newspaper and periodical journalists and reporters
BA Geography with Social Data Science,UBAGEOSING18/UBAGESODSC20,Low-skilled,Retail and Wholesale activities,East of England,Sales and retail assistants
BA Geography (International Programme),UBAGEOSINT05/UBAGEOSINT05,High-skilled,,Australasia,"Sports coaches, instructors and officials"
BA Geography (International Programme),UBAGEOSINT05/UBAGEOSINT05,High-skilled,,London,Business and related research professionals
BA Geography (International Programme),UBAGEOSINT05/UBAGEOSINT05,High-skilled,,London,Legal professionals n.e.c.
BA Geography (International Programme),UBAGEOSINT05/UBAGEOSINT05,High-skilled,,London,Management consultants and business analysts
BA Geography (International Programme),UBAGEOSINT05/UBAGEOSINT05,High-skilled,Accountancy & Financial Services,London,Management consultants and business analysts
BA Geography (International Programme),UBAGEOSINT05/UBAGEOSINT05,High-skilled,"Charities, NGOs and international development",London,Marketing associate professionals
BA Geography (International Programme),UBAGEOSINT05/UBAGEOSINT05,High-skilled,"Construction, Built Environment, Property",London,Business and financial project management professionals
BA Geography (International Programme),UBAGEOSINT05/UBAGEOSINT05,High-skilled,Consultancy,London,Marketing associate professionals
BA Geography (International Programme),UBAGEOSINT05/UBAGEOSINT05,High-skilled,Media,London,"Arts officers, producers and directors"
BA Geography (International Programme),UBAGEOSINT05/UBAGEOSINT05,High-skilled,Policy and Government,London,"Business, research and administrative professionals n.e.c."
BA Geography (International Programme),UBAGEOSINT05/UBAGEOSINT05,High-skilled,"PR, Advertising, Marketing",London,Public relations professionals
BA Geography (International Programme),UBAGEOSINT05/UBAGEOSINT05,High-skilled,"Scientific Research, development & analysis",London,Business and related research professionals
BA Geography (International Programme),UBAGEOSINT05/UBAGEOSINT05,High-skilled,Social or Market Research,London,Social and humanities scientists
BA Geography (International Programme),UBAGEOSINT05/UBAGEOSINT05,Medium-skilled,,London,Office managers
BA Geography (International Programme),UBAGEOSINT05/UBAGEOSINT05,Medium-skilled,"Hospitality, Leisure and Tourism",London,Catering and bar managers
BA Geography (International) with Quantitative Methods,UBAGEOSINT05/UBAGEQMINT05,High-skilled,Engineering,London,"Actuaries, economists and statisticians"
BA Geography (International Programme),UBAGEOSINT18/UBAGEOSINT18,High-skilled,"Arts admin;  Libraries, Museums and Heritage",London,Quality assurance technicians
BA Geography (International Programme),UBAGEOSINT18/UBAGEOSINT18,High-skilled,Security and Intelligence,South West,Officers in armed forces
BA Geography (International Programme),UBAGEOSINT18/UBAGEOSINT18,Low-skilled,Retail and Wholesale activities,South East,Sales and retail assistants
BA Geography (International Programme),UBAGEOSINT18/UBAGEOSINT18,Medium-skilled,"Construction, Built Environment, Property",Not known,Gardeners and landscape gardeners
BA German and History,UBAGERAHIS05/UBAGERAHIS05,High-skilled,,London,Marketing associate professionals
BA German and History,UBAGERAHIS05/UBAGERAHIS05,High-skilled,Academic Research and HE,London,Public relations professionals
BA German and History,UBAGERAHIS05/UBAGERAHIS05,High-skilled,"Construction, Built Environment, Property",London,"Authors, writers and translators"
BA German and History,UBAGERAHIS05/UBAGERAHIS05,High-skilled,Unknown,Not known,Human resources and industrial relations officers
BA German and History,UBAGERAHIS05/UBAGERAHIS05,Low-skilled,Retail and Wholesale activities,London,Retail cashiers and check-out operators
BA German and History,UBAGERAHIY18/UBAGERAHIY18,High-skilled,Unknown,Not known,Public relations professionals
BA German and Philosophy,UBAGERAPHI18/UBAGERAPHI18,High-skilled,Consultancy,London,Management consultants and business analysts
BA German and Russian,UBAGERARUS06/UBAGERARUS06,High-skilled,Accountancy & Financial Services,London,Finance and investment analysts and advisers
BA German and Spanish,UBAGERASPA18/UBAGERASPA18,Low-skilled,"Hospitality, Leisure and Tourism",Wales,Waiters and waitresses
BA German,UBAGERSING05/UBAGERSING05,Not applicable,Unknown,Not known,
BA German with Management Studies,UBAGERWMAN18/UBAGERWMAN18,High-skilled,"IT, Technology & Telecomms",London,Chartered and certified accountants
BA German with Management Studies,UBAGERWMAN18/UBAGERWMAN18,High-skilled,Media,London,Data analysts
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,,England region unknown,Conference and exhibition managers and organisers
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,,London,Business sales executives
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,,London,Marketing associate professionals
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,,London,Other administrative occupations n.e.c.
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,,Not known,Newspaper and periodical editors
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,Academic Research and HE,London,Marketing associate professionals
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,Accountancy & Financial Services,Other European Union,Finance and investment analysts and advisers
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,"Arts admin;  Libraries, Museums and Heritage",London,Marketing associate professionals
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,"Arts admin;  Libraries, Museums and Heritage",Other European Union,Archivists and curators
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,"Charities, NGOs and international development",England region unknown,Public relations professionals
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,Media,Not known,"Arts officers, producers and directors"
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,Performance and Creative Arts,London,Artists
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,Performance and Creative Arts,London,"Authors, writers and translators"
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,Performance and Creative Arts,Not known,Artists
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,Performance and Creative Arts,Not known,"Authors, writers and translators"
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,"PR, Advertising, Marketing",England region unknown,Marketing associate professionals
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,"PR, Advertising, Marketing",London,Marketing associate professionals
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,"PR, Advertising, Marketing",Not known,Public relations professionals
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,Retail and Wholesale activities,London,"Authors, writers and translators"
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,Retail and Wholesale activities,London,Business and related research professionals
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,Retail and Wholesale activities,London,Estate agents and auctioneers
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,Retail and Wholesale activities,London,Human resources and industrial relations officers
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,Retail and Wholesale activities,Not known,"Actors, entertainers and presenters"
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,Retail and Wholesale activities,Other European Union,Archivists and curators
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,Teaching or other educational activities,London,Secondary education teaching professionals
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,Teaching or other educational activities,Not known,Teachers of English as a foreign language
BA History of Art,UBAHARSING05/UBAHARSING05,High-skilled,Unknown,Not known,Web design professionals
BA History of Art,UBAHARSING05/UBAHARSING05,Low-skilled,,London,Sales and retail assistants
BA History of Art,UBAHARSING05/UBAHARSING05,Low-skilled,,North West,Waiters and waitresses
BA History of Art,UBAHARSING05/UBAHARSING05,Low-skilled,,Not known,Leisure and theme park attendants
BA History of Art,UBAHARSING05/UBAHARSING05,Low-skilled,,Wales,Bar staff
BA History of Art,UBAHARSING05/UBAHARSING05,Low-skilled,"Hospitality, Leisure and Tourism",London,Kitchen and catering assistants
BA History of Art,UBAHARSING05/UBAHARSING05,Low-skilled,"Hospitality, Leisure and Tourism",London,Waiters and waitresses
BA History of Art,UBAHARSING05/UBAHARSING05,Low-skilled,"Hospitality, Leisure and Tourism",Not known,Bar staff
BA History of Art,UBAHARSING05/UBAHARSING05,Medium-skilled,,East of England,Houseparents and residential wardens
BA History of Art,UBAHARSING05/UBAHARSING05,Medium-skilled,,England region unknown,Leisure and travel service occupations n.e.c.
BA History of Art,UBAHARSING05/UBAHARSING05,Medium-skilled,,London,Other administrative occupations n.e.c.
BA History of Art,UBAHARSING05/UBAHARSING05,Medium-skilled,,London,Personal assistants and other secretaries
BA History of Art,UBAHARSING05/UBAHARSING05,Medium-skilled,,Not known,Personal assistants and other secretaries
BA History of Art,UBAHARSING05/UBAHARSING05,Medium-skilled,,South West,Other administrative occupations n.e.c.
BA History of Art,UBAHARSING05/UBAHARSING05,Medium-skilled,"Construction, Built Environment, Property",London,Other administrative occupations n.e.c.
BA History of Art,UBAHARSING05/UBAHARSING05,Medium-skilled,Health and Social Care,London,Sports and leisure assistants
BA History of Art,UBAHARSING05/UBAHARSING05,Medium-skilled,Health and Social Care,South West,Medical secretaries
BA History of Art,UBAHARSING05/UBAHARSING05,Medium-skilled,Logistics and Distribution,London,Transport and distribution clerks and assistants
BA History of Art,UBAHARSING05/UBAHARSING05,Medium-skilled,Retail and Wholesale activities,London,Other administrative occupations n.e.c.
BA History of Art,UBAHARSING05/UBAHARSING05,Medium-skilled,Retail and Wholesale activities,Not known,Sports and leisure assistants
BA History of Art,UBAHARSING05/UBAHARSING05,Not applicable,,Not known,Insufficient information to code
BA History of Art,UBAHARSING05/UBAHARSING05,Not applicable,Unknown,Not known,
BA History of Art,UBAHARSING18/UBAHARSING18,High-skilled,Academic Research and HE,Asia,Functional managers and directors n.e.c.
BA History of Art,UBAHARSING18/UBAHARSING18,High-skilled,"Arts admin;  Libraries, Museums and Heritage",London,Archivists and curators
BA History of Art,UBAHARSING18/UBAHARSING18,High-skilled,"Arts admin;  Libraries, Museums and Heritage",London,Graphic and multimedia designers
BA History of Art,UBAHARSING18/UBAHARSING18,High-skilled,"Arts admin;  Libraries, Museums and Heritage",London,Public relations professionals
BA History of Art,UBAHARSING18/UBAHARSING18,High-skilled,Consultancy,London,Management consultants and business analysts
BA History of Art,UBAHARSING18/UBAHARSING18,High-skilled,"Hospitality, Leisure and Tourism",London,Conservation professionals
BA History of Art,UBAHARSING18/UBAHARSING18,High-skilled,"Hospitality, Leisure and Tourism",London,Public relations professionals
BA History of Art,UBAHARSING18/UBAHARSING18,High-skilled,Law,London,Legal professionals n.e.c.
BA History of Art,UBAHARSING18/UBAHARSING18,High-skilled,Performance and Creative Arts,London,Artists
BA History of Art,UBAHARSING18/UBAHARSING18,High-skilled,Performance and Creative Arts,Not known,Artists
BA History of Art,UBAHARSING18/UBAHARSING18,High-skilled,"PR, Advertising, Marketing",London,Public relations professionals
BA History of Art,UBAHARSING18/UBAHARSING18,High-skilled,"Publishing, Journalism, or Translation",Other European Union,Project support officers
BA History of Art,UBAHARSING18/UBAHARSING18,High-skilled,Retail and Wholesale activities,London,Business sales executives
BA History of Art,UBAHARSING18/UBAHARSING18,High-skilled,Retail and Wholesale activities,London,Marketing associate professionals
BA History of Art,UBAHARSING18/UBAHARSING18,High-skilled,Retail and Wholesale activities,London,Sales accounts and business development managers
BA History of Art,UBAHARSING18/UBAHARSING18,Low-skilled,"Construction, Built Environment, Property",London,Other elementary services occupations n.e.c.
BA History of Art,UBAHARSING18/UBAHARSING18,Medium-skilled,"Arts admin;  Libraries, Museums and Heritage",London,Catering and bar managers
BA History of Art,UBAHARSING18/UBAHARSING18,Medium-skilled,"Arts admin;  Libraries, Museums and Heritage",London,Sports and leisure assistants
BA History of Art,UBAHARSING18/UBAHARSING18,Medium-skilled,"Construction, Built Environment, Property",East of England,Records clerks and assistants
BA History of Art,UBAHARSING18/UBAHARSING18,Medium-skilled,"Construction, Built Environment, Property",London,Office managers
BA History of Art,UBAHARSING18/UBAHARSING18,Medium-skilled,"Other professional, scientific and technical activities",London,Personal assistants and other secretaries
BA History of Art,UBAHARSING18/UBAHARSING18,Medium-skilled,Retail and Wholesale activities,London,Records clerks and assistants
BA History of Art,UBAHARSING18/UBAHARSING18,Medium-skilled,Retail and Wholesale activities,London,Sales administrators
BA History of Art,UBAHARSING18/UBAHARSING18,Medium-skilled,Teaching or other educational activities,South East,Early education and childcare assistants
BA History of Art,UBAHARSING18/UBAHARSING18,Not applicable,Unknown,Not known,
BA History of Art with Material Studies,UBAHARWMST05/UBAHARWMST05,High-skilled,"Charities, NGOs and international development",London,"Arts officers, producers and directors"
BA History of Art with Material Studies,UBAHARWMST05/UBAHARWMST05,High-skilled,"Hospitality, Leisure and Tourism",West Midlands,Hotel and accommodation managers and proprietors
BA History of Art with Material Studies,UBAHARWMST05/UBAHARWMST05,High-skilled,Media,London,"Photographers, audio-visual and broadcasting equipment operators"
BA History of Art with Material Studies,UBAHARWMST05/UBAHARWMST05,High-skilled,Performance and Creative Arts,London,Engineering professionals n.e.c.
BA History of Art with Material Studies,UBAHARWMST05/UBAHARWMST05,High-skilled,Retail and Wholesale activities,London,"Arts officers, producers and directors"
BA History of Art with Material Studies,UBAHARWMST05/UBAHARWMST05,Medium-skilled,"Arts admin;  Libraries, Museums and Heritage",Other European Union,Sports and leisure assistants
BA History of Art with Material Studies,UBAHARWMST05/UBAHARWMST05,Not applicable,Unknown,Not known,
BA History of Art with Material Studies,UBAHARWMST18/UBAHARWMST18,High-skilled,Health and Social Care,London,Biochemists and biomedical scientists
"BA History of Art, Materials and Technology",UBAHARWMST19/UBAHARWMST19,High-skilled,Teaching or other educational activities,South East,Marketing associate professionals
BA Hebrew and Jewish Studies,UBAHEBAJEW15/UBAHEBAJEW15,High-skilled,,England region unknown,Secondary education teaching professionals
BA Ancient History,UBAHISSANC05/UBAHISSANC05,High-skilled,Health and Social Care,London,Public services associate professionals
BA Ancient History,UBAHISSANC05/UBAHISSANC05,High-skilled,"IT, Technology & Telecomms",London,Business and financial project management professionals
BA Ancient History,UBAHISSANC05/UBAHISSANC05,Low-skilled,,London,Sales and retail assistants
BA Ancient History,UBAHISSANC05/UBAHISSANC05,Medium-skilled,"Arts admin;  Libraries, Museums and Heritage",East of England,Sports and leisure assistants
BA Ancient History,UBAHISSANC05/UBAHISSANC05,Not applicable,Unknown,Not known,
BA Ancient History,UBAHISSANC18/UBAHISSANC18,High-skilled,Consultancy,London,Management consultants and business analysts
BA Ancient History,UBAHISSANC18/UBAHISSANC18,High-skilled,Policy and Government,London,Librarians
BA Ancient History,UBAHISSANC18/UBAHISSANC18,Low-skilled,Retail and Wholesale activities,South East,Sales and retail assistants
BA Ancient History,UBAHISSANC18/UBAHISSANC18,Medium-skilled,Accountancy & Financial Services,South East,Financial administrative occupations n.e.c.
BA Ancient History,UBAHISSANC18/UBAHISSANC18,Medium-skilled,Media,South East,"Book-keepers, payroll managers and wages clerks"
BA Ancient History,UBAHISSANC18/UBAHISSANC18,Not applicable,Unknown,Not known,
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,Asia,Business associate professionals n.e.c.
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,East of England,Legal associate professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,England region unknown,Financial accounts managers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,England region unknown,Human resources and industrial relations officers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,England region unknown,Marketing associate professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,England region unknown,Travel agents
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,London,"Authors, writers and translators"
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,London,Business associate professionals n.e.c.
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,London,"Business, research and administrative professionals n.e.c."
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,London,Chartered and certified accountants
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,London,Human resources and industrial relations officers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,London,"IT business analysts, architects and systems designers"
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,London,IT user support technicians
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,London,Marketing associate professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,London,Programmers and software development professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,London,Protective service associate professionals n.e.c.
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,London,Public relations professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,London,Public services associate professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,London,Sales accounts and business development managers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,London,Secondary education teaching professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,London,Taxation experts
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,London,Welfare and housing associate professionals n.e.c.
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,North America,"Actors, entertainers and presenters"
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,Not known,Managers and proprietors in other services n.e.c.
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,Not known,Marketing associate professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,Not known,Newspaper and periodical journalists and reporters
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,Not known,"Photographers, audio-visual and broadcasting equipment operators"
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,Other European Union,Legal professionals n.e.c.
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,South East,Management consultants and business analysts
BA History,UBAHISSING05/UBAHISSING05,High-skilled,,South East,Secondary education teaching professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Academic Research and HE,London,Higher education teaching professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Accountancy & Financial Services,London,Brokers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Accountancy & Financial Services,London,Business and related research professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Accountancy & Financial Services,London,Business sales executives
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Accountancy & Financial Services,London,Chartered and certified accountants
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Accountancy & Financial Services,London,Cyber security professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Accountancy & Financial Services,London,Finance and investment analysts and advisers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Accountancy & Financial Services,London,Insurance underwriters
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Accountancy & Financial Services,London,Taxation experts
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Accountancy & Financial Services,Not known,Finance and investment analysts and advisers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Banking and investment,London,Finance and investment analysts and advisers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Banking and investment,London,Human resources and industrial relations officers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Banking and investment,South West,Finance and investment analysts and advisers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Banking and investment,Yorkshire and The Humber,Finance and investment analysts and advisers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"Charities, NGOs and international development",London,Conference and exhibition managers and organisers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"Charities, NGOs and international development",London,Human resources and industrial relations officers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"Charities, NGOs and international development",Other Europe,Business and related research professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"Construction, Built Environment, Property",London,Housing officers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Consultancy,Asia,Business and related research professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Consultancy,London,Public relations professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Engineering,East Midlands,Business associate professionals n.e.c.
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Health and Social Care,London,Business and related research professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"Hospitality, Leisure and Tourism",East Midlands,"Sports coaches, instructors and officials"
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"Hospitality, Leisure and Tourism",London,Marketing associate professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Human Resources and Recruitment,London,Special needs education teaching professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"IT, Technology & Telecomms",London,Business sales executives
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"IT, Technology & Telecomms",London,Project support officers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Law,London,Legal professionals n.e.c.
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Law,London,Management consultants and business analysts
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Manufacturing,Not known,"Clothing, fashion and accessories designers"
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Media,England region unknown,"Arts officers, producers and directors"
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Media,England region unknown,Human resources and industrial relations officers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Media,England region unknown,Marketing and commercial managers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Media,London,"Arts officers, producers and directors"
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Media,London,Business and related research professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Media,London,Human resources and industrial relations officers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Media,Not known,"Actors, entertainers and presenters"
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"Other professional, scientific and technical activities",London,Marketing associate professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Performance and Creative Arts,London,"Actors, entertainers and presenters"
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Performance and Creative Arts,Not known,Newspaper and periodical journalists and reporters
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Performance and Creative Arts,South East,"Authors, writers and translators"
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Policy and Government,London,Business and financial project management professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Policy and Government,London,"Business, research and administrative professionals n.e.c."
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Policy and Government,London,Public services associate professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"PR, Advertising, Marketing",Asia,Business and related research professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"PR, Advertising, Marketing",England region unknown,Sales accounts and business development managers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"PR, Advertising, Marketing",London,Marketing associate professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"PR, Advertising, Marketing",London,Public relations professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"Publishing, Journalism, or Translation",East of England,Newspaper and periodical journalists and reporters
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"Publishing, Journalism, or Translation",London,Business and related research professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"Publishing, Journalism, or Translation",London,Finance and investment analysts and advisers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"Publishing, Journalism, or Translation",London,Newspaper and periodical editors
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"Publishing, Journalism, or Translation",London,Newspaper and periodical journalists and reporters
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"Publishing, Journalism, or Translation",Not known,"Authors, writers and translators"
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"Publishing, Journalism, or Translation",Other European Union,Business and financial project management professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Retail and Wholesale activities,London,Marketing associate professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Retail and Wholesale activities,London,Protective service associate professionals n.e.c.
BA History,UBAHISSING05/UBAHISSING05,High-skilled,"Scientific Research, development & analysis",South East,Business and related research professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Security and Intelligence,London,Police officers (sergeant and below)
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Social or Market Research,North West,Social and humanities scientists
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Teaching or other educational activities,London,Education managers
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Teaching or other educational activities,London,Other educational professionals n.e.c
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Teaching or other educational activities,London,Primary education teaching professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Teaching or other educational activities,London,Secondary education teaching professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Teaching or other educational activities,Not known,Teaching professionals n.e.c.
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Teaching or other educational activities,South East,Secondary education teaching professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Unknown,Not known,Artists
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Unknown,Not known,Business and related research professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Unknown,Not known,Marketing associate professionals
BA History,UBAHISSING05/UBAHISSING05,High-skilled,Unknown,Yorkshire and The Humber,Cyber security professionals
BA History,UBAHISSING05/UBAHISSING05,Low-skilled,,East of England,Fishing and other elementary agriculture occupations n.e.c.
BA History,UBAHISSING05/UBAHISSING05,Low-skilled,,England region unknown,Bar staff
BA History,UBAHISSING05/UBAHISSING05,Low-skilled,,London,Customer service supervisors
BA History,UBAHISSING05/UBAHISSING05,Low-skilled,,Other European Union,Kitchen and catering assistants
BA History,UBAHISSING05/UBAHISSING05,Low-skilled,,Other European Union,Waiters and waitresses
BA History,UBAHISSING05/UBAHISSING05,Low-skilled,,Wales,Retail cashiers and check-out operators
BA History,UBAHISSING05/UBAHISSING05,Low-skilled,"Hospitality, Leisure and Tourism",London,Bar staff
BA History,UBAHISSING05/UBAHISSING05,Low-skilled,"Hospitality, Leisure and Tourism",London,Waiters and waitresses
BA History,UBAHISSING05/UBAHISSING05,Low-skilled,Human Resources and Recruitment,Not known,Waiters and waitresses
BA History,UBAHISSING05/UBAHISSING05,Low-skilled,Retail and Wholesale activities,London,Sales and retail assistants
BA History,UBAHISSING05/UBAHISSING05,Low-skilled,Retail and Wholesale activities,London,Sales supervisors - retail and wholesale
BA History,UBAHISSING05/UBAHISSING05,Low-skilled,Retail and Wholesale activities,South West,Sales and retail assistants
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,,London,Financial administrative occupations n.e.c.
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,,London,Library clerks and assistants
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,,London,Other administrative occupations n.e.c.
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,,London,Records clerks and assistants
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,,London,Sports and leisure assistants
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,,Not known,Gardeners and landscape gardeners
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,,South West,Care workers and home carers
BA History,UBAHISSING05/UBAHISSING05,Medium-skilled,Accountancy & Financial Services,England region unknown,Pensions and insurance clerks and assistants
